Rank,Player,AVG PICK,7 DAY +/-,AVG SALARY,7 DAY +/-,%ROST
90,Sony MichelLARRB,100.7,43.1,3.5,1.9,77.2
91,Matthew StaffordLARQB,102.2,3.5,4.7,0.6,86.6
92,Deebo SamuelSFWR,102.4,3.3,3.0,0.3,87.5
93,Steelers D/STPitD/ST,102.8,-5.8,2.4,-0.1,98.0
94,Dallas GoedertPhiTE,102.9,-1.3,2.1,0.0,90.0
95,Jalen HurtsPhiQB,104.7,1.7,3.3,0.2,89.5
96,Ravens D/STBalD/ST,105.4,-2.3,2.2,0.1,98.1
97,Justin TuckerBalK,105.8,-2.7,3.0,0.1,99.6
98,Corey DavisNYJWR,106.5,6.7,3.0,0.5,83.2
99,Jarvis LandryCleWR,107.0,0.1,2.6,0.0,87.2
100,Melvin Gordon IIIDenRB,107.9,4.2,3.2,0.5,85.4
101,Kenyan DrakeLVRB,109.1,4.7,2.2,0.2,84.5
102,Jonnu SmithNETE,110.4,15.8,1.8,0.5,80.9
103,Antonio BrownTBWR,110.9,1.2,3.1,0.3,84.9
104,Ryan TannehillTenQB,111.6,-8.0,3.2,-0.4,87.9
105,Mike GesickiMiaTE,114.5,-0.9,1.8,0.0,85.1
106,Marvin Jones Jr.QJaxWR,115.1,0.3,1.9,0.0,79.4
107,Marquise BrownBalWR,115.3,4.0,1.9,0.1,82.4
108,DJ Chark Jr.QJaxWR,115.9,-2.9,2.1,-0.2,82.9
109,Washington D/STWshD/ST,116.5,-2.4,2.0,0.1,95.1
110,Jaylen WaddleMiaWR,116.5,-1.2,2.4,0.0,82.8
111,James ConnerAriRB,119.4,5.0,2.1,0.2,79.1
112,Bills D/STBufD/ST,121.6,-2.0,1.8,0.0,92.7
113,AJ DillonGBRB,122.2,2.4,2.1,0.2,76.0
114,Zack MossBufRB,122.5,-1.7,2.1,-0.1,75.8
115,Henry Ruggs IIILVWR,122.5,-1.5,1.7,0.0,79.0
116,49ers D/STSFD/ST,123.2,1.7,1.6,0.2,94.2
117,Curtis SamuelQWshWR,124.0,-3.1,1.5,-0.1,79.0
118,Ronald Jones IITBRB,124.0,3.0,2.2,0.3,78.8
119,Rob GronkowskiTBTE,124.0,4.5,1.7,0.3,74.9
120,Rams D/STLARD/ST,124.5,0.4,2.1,0.2,94.7
121,Joe BurrowCinQB,125.3,-0.1,2.5,0.0,78.7
122,Mike WilliamsLACWR,125.7,0.5,1.6,0.0,73.5
123,Trey SermonSFRB,126.0,6.3,3.2,0.7,72.4
124,Tyler HigbeeLARTE,129.7,5.4,1.7,0.2,69.6
125,Jamaal WilliamsDetRB,131.3,4.8,1.5,0.2,72.1
126,Jason MyersSeaK,131.8,-1.2,1.4,0.1,95.5
127,Michael CarterQNYJRB,133.0,-5.2,1.8,-0.3,70.8
128,Baker MayfieldCleQB,133.2,8.8,1.9,0.3,62.4
129,Younghoe KooAtlK,133.5,-4.5,2.0,0.1,94.2
130,Cole BeasleyBufWR,134.0,0.9,1.3,0.1,72.4
131,Marquez CallawayNOWR,134.5,15.9,2.1,0.8,68.9
132,Trevor LawrenceJaxQB,135.0,1.0,2.3,0.1,75.3
133,Michael Pittman Jr.IndWR,136.0,7.6,1.6,0.4,66.8
134,Devin SingletaryBufRB,139.6,6.0,1.3,0.1,63.7
135,Nyheim HinesIndRB,139.7,2.6,1.2,0.1,65.5
136,Graham GanoNYGK,141.9,-4.5,1.0,0.0,83.3
137,Broncos D/STDenD/ST,143.7,0.0,1.2,0.0,86.3
138,Jakobi MeyersNEWR,143.9,6.7,1.2,0.2,54.0
139,David JohnsonHouRB,144.5,3.9,1.1,0.0,67.2
140,Austin HooperCleTE,145.7,11.2,0.8,0.5,51.3
141,Jason SandersMiaK,145.7,-3.3,1.2,0.1,88.6
142,Justin FieldsChiQB,146.7,3.7,1.6,0.1,49.9
143,Brandon McManusDenK,146.7,-1.2,1.1,0.0,86.6
144,Matt GayLARK,146.8,0.6,1.2,0.0,86.8
145,Tua TagovailoaMiaQB,147.3,0.2,1.3,-0.2,49.6
146,Mecole HardmanKCWR,148.1,-0.5,1.1,0.0,61.7
147,DeVante ParkerMiaWR,149.3,1.0,1.0,0.0,62.4
148,Patriots D/STNED/ST,149.4,-5.7,1.1,0.0,76.4
149,Phillip LindsayHouRB,149.5,-6.1,1.0,-0.2,52.5
150,Browns D/STCleD/ST,150.7,-0.7,1.0,0.0,63.0
151,Jalen ReagorPhiWR,151.9,-4.2,0.9,-0.1,60.0
152,Darnell MooneyChiWR,152.3,-0.9,1.0,0.0,56.1
153,Colts D/STIndD/ST,152.7,1.3,0.9,0.1,62.9
154,James WhiteNERB,154.4,7.3,0.8,0.3,42.4
155,Matt RyanAtlQB,154.5,-0.3,1.1,0.1,44.7
156,J.D. McKissicWshRB,156.1,-0.5,0.7,0.0,49.9
157,Evan EngramQNYGTE,156.2,-8.9,0.6,-0.2,50.6
158,Ben RoethlisbergerPitQB,158.2,-1.1,0.9,0.1,33.1
159,Tony PollardDalRB,158.2,3.0,0.8,0.2,38.5
160,Tyler BassBufK,159.2,-1.6,1.0,0.0,68.1
161,Trey LanceQSFQB,159.8,1.2,1.0,0.0,32.5
162,Tyrell WilliamsQDetWR,160.3,1.6,0.7,0.1,31.8
163,J.K. DobbinsIRBalRB,160.5,-116.5,1.1,-21.9,33.7
164,Hunter HenryQNETE,160.7,1.8,0.5,0.1,40.3
165,Elijah MooreNYJWR,160.9,0.1,0.7,0.0,38.2
166,Jameis WinstonNOQB,161.3,4.3,1.1,0.6,25.3
167,Parris CampbellIndWR,161.4,-0.8,0.6,-0.1,37.7
168,Eric EbronPitTE,162.8,-0.1,0.3,0.0,33.5
169,Zach ErtzPhiTE,162.8,1.7,0.4,0.1,24.6
170,Alexander MattisonQMinRB,163.1,1.0,0.6,0.1,31.8
171,Randall CobbGBWR,163.8,-0.3,0.5,0.0,31.5
172,Greg ZuerleinDalK,164.1,0.2,0.8,0.0,58.2
173,Russell GageAtlWR,164.2,0.4,0.5,0.0,31.9
174,Kirk CousinsMinQB,164.6,-1.1,0.7,-0.1,24.2
175,Nelson AgholorNEWR,164.7,-0.6,0.4,0.0,32.3
176,A.J. GreenAriWR,164.7,-0.3,0.5,0.0,30.2
177,Mac JonesNEQB,165.0,4.3,0.7,0.5,21.0
178,Ryan FitzpatrickWshQB,166.5,0.0,0.6,0.0,23.3
179,Saints D/STNOD/ST,166.6,-1.0,0.3,0.1,26.2
180,Cole KmetChiTE,166.6,2.3,0.2,0.1,19.3
181,Ty'Son WilliamsBalRB,166.7,0.0,0.4,0.0,17.3
182,Jared CookLACTE,166.7,1.3,0.2,0.1,19.7
