Rank,Player,AVG PICK,7 DAY +/-,AVG SALARY,7 DAY +/-,%ROST
392,Seth WilliamsDenWR,170.0,0.0,0.0,0.0,0.1
393,Matt BryantFAK,170.0,0.0,0.0,0.0,0.0
394,David BloughDetQB,170.0,0.0,0.0,0.0,0.0
395,Darwin ThompsonTBRB,170.0,0.0,0.0,0.0,0.1
396,Taiwan JonesBufRB,170.0,0.0,0.0,0.0,0.0
397,Tylan WallaceBalWR,170.0,0.0,0.0,0.0,0.2
398,Tre' McKittyLACTE,170.0,0.0,0.0,0.0,0.1
399,Corey ClementDalRB,170.0,0.0,0.0,0.0,0.1
400,Nick FitzgeraldFAQB,170.0,0.0,0.0,0.0,0.0
401,Joshua DobbsIRPitQB,170.0,0.0,0.0,0.0,0.0
402,Josh RosenAtlQB,170.0,0.0,0.0,0.0,0.0
403,Mike StrachanIndWR,170.0,0.0,0.0,0.0,0.2
404,Michael BurtonKCRB,170.0,0.0,0.0,0.0,0.0
405,Jacob HarrisLARTE,170.0,0.0,0.0,0.0,0.1
406,Cam SimsWshWR,170.0,0.0,0.0,0.0,0.1
407,Jacob HollisterJaxTE,170.0,0.0,0.0,0.0,0.1
408,Stephen HauschkaFAK,170.0,0.0,0.0,0.0,0.0
409,Mason RudolphPitQB,170.0,0.0,0.0,0.0,0.1
410,Ameer AbdullahMinRB,170.0,0.0,0.0,0.0,0.1
411,Mohamed Sanu Sr.SFWR,170.0,0.0,0.0,0.0,0.1
412,Will DisslySeaTE,170.0,0.0,0.0,0.0,0.4
413,J.J. JonesFAWR,170.0,0.0,0.0,0.0,0.0
414,Justin RohrwasserFAK,170.0,0.0,0.0,0.0,0.0
415,Jalen HurdQSFWR,170.0,0.0,0.0,0.0,0.1
416,Daurice FountainKCWR,170.0,0.0,0.0,0.0,0.0
417,Darren SprolesPhiRB,170.0,0.0,0.0,0.0,0.0
418,Sam EhlingerIRIndQB,170.0,0.0,0.0,0.0,0.1
419,Patrick DiMarcoFARB,170.0,0.0,0.0,0.0,0.0
420,Garrett GilbertNEQB,170.0,0.0,0.0,0.0,0.0
421,Marcus KempKCWR,170.0,0.0,0.0,0.0,0.0
422,Jake KumerowBufWR,170.0,0.0,0.0,0.0,0.1
423,Sammis ReyesWshTE,170.0,0.0,0.0,0.0,0.0
424,Jeff ThomasFAWR,170.0,0.0,0.0,0.0,0.0
425,Dante PettisNYGWR,170.0,0.0,0.0,0.0,0.0
426,Allen HurnsIRMiaWR,170.0,0.0,0.0,0.0,0.0
427,Terry GodwinIRJaxWR,170.0,0.0,0.0,0.0,0.0
428,Dax MilneWshWR,170.0,0.0,0.0,0.0,0.0
429,Tommy TrembleCarTE,170.0,0.0,0.0,0.0,0.1
430,Alex SmithQWshQB,170.0,0.0,0.0,0.0,0.0
431,Tyler HuntleyBalQB,170.0,0.0,0.0,0.0,0.1
432,Shelton GibsonFAWR,170.0,0.0,0.0,0.0,0.0
433,Will GrierDalQB,170.0,0.0,0.0,0.0,0.0
434,Michael CrabtreeAriWR,170.0,0.0,0.0,0.0,0.0
435,KJ Hill Jr.LACWR,170.0,0.0,0.0,0.0,0.0
436,Foster MoreauLVTE,170.0,0.0,0.0,0.0,0.1
437,Andy IsabellaAriWR,170.0,0.0,0.0,0.0,0.1
438,DeShone KizerFAQB,170.0,0.0,0.0,0.0,0.0
439,Feleipe FranksAtlQB,170.0,0.0,0.0,0.0,0.0
440,N'Keal HarryIRNEWR,170.0,0.0,0.0,0.0,0.4
441,Jakob JohnsonNERB,170.0,0.0,0.0,0.0,0.0
442,Darrell DanielsAriTE,170.0,0.0,0.0,0.0,0.0
443,Dwayne WashingtonNORB,170.0,0.0,0.0,0.0,0.0
444,Dede WestbrookQMinWR,170.0,0.0,0.0,0.0,0.1
445,Ke'Shawn VaughnTBRB,170.0,0.0,0.0,0.0,0.2
446,Jeremy SprinkleFATE,170.0,0.0,0.0,0.0,0.0
447,Zach GentryPitTE,170.0,0.0,0.0,0.0,0.0
448,Javon LeakeFARB,170.0,0.0,0.0,0.0,0.0
449,David WilliamsDenRB,170.0,0.0,0.0,0.0,0.0
450,Brandon WrightFAK,170.0,0.0,0.0,0.0,0.0
451,John BatesWshTE,170.0,0.0,0.0,0.0,0.0
452,Zay JonesLVWR,170.0,0.0,0.0,0.0,0.1
453,Nick Westbrook-IkhineTenWR,170.0,0.0,0.0,0.0,0.0
454,Jody FortsonKCTE,170.0,0.0,0.0,0.0,0.0
455,Anthony SchwartzCleWR,170.0,0.0,0.0,0.0,0.2
456,Josiah DeguaraGBTE,170.0,0.0,0.0,0.0,0.0
457,Nick KeizerOKCTE,170.0,0.0,0.0,0.0,0.0
458,Hunter LongMiaTE,170.0,0.0,0.0,0.0,0.1
459,Kai ForbathFAK,170.0,0.0,0.0,0.0,0.0
460,Jordan WilkinsIndRB,170.0,0.0,0.0,0.0,0.1
461,Elijhaa PennyNYGRB,170.0,0.0,0.0,0.0,0.0
462,Devlin HodgesLARQB,170.0,0.0,0.0,0.0,0.0
463,Johnny StantonCleRB,170.0,0.0,0.0,0.0,0.0
464,Antonio Gandy-GoldenWshWR,170.0,0.0,0.0,0.0,0.1
465,Gary BrightwellNYGRB,170.0,0.0,0.0,0.0,0.0
466,Jaelon DardenTBWR,170.0,0.0,0.0,0.0,0.1
467,DeAndre CarterWshWR,170.0,0.0,0.0,0.0,0.0
468,Bisi JohnsonIRMinWR,170.0,0.0,0.0,0.0,0.0
469,Josh McCownFAQB,170.0,0.0,0.0,0.0,0.0
470,Lee SmithAtlTE,170.0,0.0,0.0,0.0,0.0
471,Trey EdmundsFARB,170.0,0.0,0.0,0.0,0.0
472,Greg WardPhiWR,170.0,0.0,0.0,0.0,0.1
473,Jakeem Grant Sr.MiaWR,170.0,0.0,0.0,0.0,0.1
474,Dominique DafneyGBTE,170.0,0.0,0.0,0.0,0.0
475,AJ McCarronIRAtlQB,170.0,0.0,0.0,0.0,0.0
476,Brian HoyerNEQB,170.0,0.0,0.0,0.0,0.0
477,Troymaine PopeQFARB,170.0,0.0,0.0,0.0,0.0
478,Josh OliverBalTE,170.0,0.0,0.0,0.0,0.0
479,Alec IngoldLVRB,170.0,0.0,0.0,0.0,0.0
480,K.J. OsbornMinWR,170.0,0.0,0.0,0.0,0.0
481,Keith SmithAtlRB,170.0,0.0,0.0,0.0,0.0
482,Brett MaherQFAK,170.0,0.0,0.0,0.0,0.0
483,Eddy PineiroFAK,170.0,0.0,0.0,0.0,0.0
484,Dexter WilliamsNYGRB,170.0,0.0,0.0,0.0,0.0
485,Lamar MillerFARB,170.0,0.0,0.0,0.0,0.0
486,Ryan SwitzerIRCleWR,170.0,0.0,0.0,0.0,0.0
487,Travis HomerSeaRB,170.0,0.0,0.0,0.0,0.1
488,Andrew BeckDenRB,170.0,0.0,0.0,0.0,0.0
489,Ricky OrtizNORB,170.0,0.0,0.0,0.0,0.0
490,Equanimeous St. BrownGBWR,170.0,0.0,0.0,0.0,0.1
491,Maxx WilliamsQAriTE,170.0,0.0,0.0,0.0,0.1
492,Rod SmithFARB,170.0,0.0,0.0,0.0,0.0
493,Ross DwelleySFTE,170.0,0.0,0.0,0.0,0.0
494,Rico DowdleIRDalRB,170.0,0.0,0.0,0.0,0.0
495,Kalen BallagePitRB,170.0,0.0,0.0,0.0,0.2
496,Jay AjayiFARB,170.0,0.0,0.0,0.0,0.0
497,Demetrius HarrisAriTE,170.0,0.0,0.0,0.0,0.0
498,Sam SlomanFAK,170.0,0.0,0.0,0.0,0.0
499,Ryan GriffinNYJTE,170.0,0.0,0.0,0.0,0.0
500,Will HastingsFAWR,170.0,0.0,0.0,0.0,0.0
501,Nsimba WebsterChiWR,170.0,0.0,0.0,0.0,0.0
502,John UrsuaIRSeaWR,170.0,0.0,0.0,0.0,0.0
503,Mike WhiteQNYJQB,170.0,0.0,0.0,0.0,0.0
504,Colby ParkinsonQSeaTE,170.0,0.0,0.0,0.0,0.0
505,Richard RodgersFATE,170.0,0.0,0.0,0.0,0.0
506,Tim BoyleIRDetQB,170.0,0.0,0.0,0.0,0.0
507,Antonio WilliamsQBufRB,170.0,0.0,0.0,0.0,0.0
508,Ross TravisAriTE,170.0,0.0,0.0,0.0,0.0
509,Chris HoganFAWR,170.0,0.0,0.0,0.0,0.0
510,Bobo WilsonTBWR,170.0,0.0,0.0,0.0,0.0
511,Darius AndersonFARB,170.0,0.0,0.0,0.0,0.0
512,Ricky Seals-JonesWshTE,170.0,0.0,0.0,0.0,0.0
513,Kaden SmithNYGTE,170.0,0.0,0.0,0.0,0.0
514,James DevelinNERB,170.0,0.0,0.0,0.0,0.0
515,Antonio CallawayQFAWR,170.0,0.0,0.0,0.0,0.0
516,Farrod GreenIndTE,170.0,0.0,0.0,0.0,0.0
517,Zach ZennerMiaRB,170.0,0.0,0.0,0.0,0.0
518,Luke FarrellJaxTE,170.0,0.0,0.0,0.0,0.0
519,Shi SmithQCarWR,170.0,0.0,0.0,0.0,0.1
520,Jarrett StidhamONEQB,170.0,0.0,0.0,0.0,0.0
521,Malik TurnerIRDalWR,170.0,0.0,0.0,0.0,0.0
522,Wendell SmallwoodFARB,170.0,0.0,0.0,0.0,0.0
523,KhaDarel HodgeDetWR,170.0,0.0,0.0,0.0,0.0
524,Jeff SmithNYJWR,170.0,0.0,0.0,0.0,0.0
525,Ian BookNOQB,170.0,0.0,0.0,0.0,0.1
526,Devin SmithJaxWR,170.0,0.0,0.0,0.0,0.0
527,Durham SmytheMiaTE,170.0,0.0,0.0,0.0,0.0
528,Trayveon WilliamsCinRB,170.0,0.0,0.0,0.0,0.1
529,Justin WatsonOTBWR,170.0,0.0,0.0,0.0,0.0
530,Kelvin BenjaminFATE,170.0,0.0,0.0,0.0,0.0
531,Eric TomlinsonBalTE,170.0,0.0,0.0,0.0,0.0
532,Trinity BensonDetWR,170.0,0.0,0.0,0.0,0.0
533,Richie JamesIRSFWR,170.0,0.0,0.0,0.0,0.1
534,Pharoh CooperFAWR,170.0,0.0,0.0,0.0,0.0
535,Frank DarbyAtlWR,170.0,0.0,0.0,0.0,0.1
536,Golden TateQFAWR,170.0,0.0,0.0,0.0,0.1
537,Brevin JordanHouTE,170.0,0.0,0.0,0.0,0.2
538,Kellen MondMinQB,170.0,0.0,0.0,0.0,0.2
539,Mack HollinsMiaWR,170.0,0.0,0.0,0.0,0.0
540,Logan WoodsideTenQB,170.0,0.0,0.0,0.0,0.0
541,Brandon DillonMinTE,170.0,0.0,0.0,0.0,0.0
542,Josh HillDetTE,170.0,0.0,0.0,0.0,0.0
543,James MorganCarQB,170.0,0.0,0.0,0.0,0.0
544,Brandon BoldenNERB,170.0,0.0,0.0,0.0,0.0
545,Jace SternbergerSSPDGBTE,170.0,0.0,0.0,0.0,0.0
546,Miles BoykinIRBalWR,170.0,0.0,0.0,0.0,0.1
547,Easton StickLACQB,170.0,0.0,0.0,0.0,0.0
548,Taywan TaylorQFAWR,170.0,0.0,0.0,0.0,0.0
549,Christian BlakeAtlWR,170.0,0.0,0.0,0.0,0.0
550,Diontae SpencerDenWR,170.0,0.0,0.0,0.0,0.0
551,Jaron BrownFAWR,170.0,0.0,0.0,0.0,0.0
552,Joey SlyeFAK,170.0,0.0,0.0,0.0,0.5
553,Roosevelt NixFARB,170.0,0.0,0.0,0.0,0.0
554,Alshon JefferyFAWR,170.0,0.0,0.0,0.0,0.1
555,Sean McKeonIRDalTE,170.0,0.0,0.0,0.0,0.0
556,Braxton BerriosNYJWR,170.0,0.0,0.0,0.0,0.0
557,Michael WalkerIRPhiWR,170.0,0.0,0.0,0.0,0.0
558,Gehrig DieterKCWR,170.0,0.0,0.0,0.0,0.0
559,Ryan NallChiRB,170.0,0.0,0.0,0.0,0.0
560,Matt MooreFAQB,170.0,0.0,0.0,0.0,0.0
561,Joe ReedFAWR,170.0,0.0,0.0,0.0,0.0
562,Luke WillsonSeaTE,170.0,0.0,0.0,0.0,0.0
563,Danny VitaleFARB,170.0,0.0,0.0,0.0,0.0
564,Cameron BatsonTenWR,170.0,0.0,0.0,0.0,0.0
565,Antoine WesleyAriWR,170.0,0.0,0.0,0.0,0.0
566,Bruce AndersonFARB,170.0,0.0,0.0,0.0,0.0
567,Marcus JohnsonIRTenWR,170.0,0.0,0.0,0.0,0.0
568,Reggie GilliamBufRB,170.0,0.0,0.0,0.0,0.0
569,Nick BelloreSeaRB,170.0,0.0,0.0,0.0,0.0
570,Keith FordGBRB,170.0,0.0,0.0,0.0,0.0
571,Ben SkowronekOLARWR,170.0,0.0,0.0,0.0,0.0
572,Trevon WescoNYJRB,170.0,0.0,0.0,0.0,0.0
573,Scottie PhillipsHouRB,170.0,0.0,0.0,0.0,0.0
574,Jauan JenningsQSFWR,170.0,0.0,0.0,0.0,0.0
575,Tom KennedyDetWR,170.0,0.0,0.0,0.0,0.0
576,Elijah HolyfieldFARB,170.0,0.0,0.0,0.0,0.0
577,Davion DavisSSPDCleWR,170.0,0.0,0.0,0.0,0.0
578,Eric SaubertDenTE,170.0,0.0,0.0,0.0,0.0
579,Nick VannettQNOTE,170.0,0.0,0.0,0.0,0.0
580,Tommy StevensFATE,170.0,0.0,0.0,0.0,0.0
581,Hakeem ButlerFATE,170.0,0.0,0.0,0.0,0.0
582,T.J. LoganQFARB,170.0,0.0,0.0,0.0,0.0
583,Josh JohnsonNYJQB,170.0,0.0,0.0,0.0,0.0
584,Steven Mitchell Jr.FAWR,170.0,0.0,0.0,0.0,0.0
585,Jazz FergusonFAWR,170.0,0.0,0.0,0.0,0.0
586,Demaryius ThomasNYJWR,170.0,0.0,0.0,0.0,0.0
587,Sutton SmithFARB,170.0,0.0,0.0,0.0,0.0
588,DaeSean HamiltonODenWR,170.0,0.0,0.0,0.0,0.0
589,Garrett GriffinNOTE,170.0,0.0,0.0,0.0,0.0
590,Jake BargasMinRB,170.0,0.0,0.0,0.0,0.0
591,Chris MooreHouWR,170.0,0.0,0.0,0.0,0.0
592,Nate SudfeldFAQB,170.0,0.0,0.0,0.0,0.0
593,Bo ScarbroughFARB,170.0,0.0,0.0,0.0,0.0
594,Senorise PerryFARB,170.0,0.0,0.0,0.0,0.0
595,Luke StockerFATE,170.0,0.0,0.0,0.0,0.0
596,Tyron JohnsonJaxWR,170.0,0.0,0.0,0.0,0.1
597,D.J. FosterFARB,170.0,0.0,0.0,0.0,0.0
598,Michael Warren IIQFARB,170.0,0.0,0.0,0.0,0.0
599,Brandon ZylstraCarWR,170.0,0.0,0.0,0.0,0.0
600,Xavier GrimbleFATE,170.0,0.0,0.0,0.0,0.0
601,Dylan CantrellIRFATE,170.0,0.0,0.0,0.0,0.0
602,Alex ArmahNORB,170.0,0.0,0.0,0.0,0.0
603,Artavis PierceChiRB,170.0,0.0,0.0,0.0,0.0
604,Gabe NabersQLACRB,170.0,0.0,0.0,0.0,0.0
605,Khalfani MuhammadFARB,170.0,0.0,0.0,0.0,0.0
606,Taylor HeinickeWshQB,170.0,0.0,0.0,0.0,0.2
607,Ryan GriffinTBQB,170.0,0.0,0.0,0.0,0.0
608,Isaiah ZuberFAWR,170.0,0.0,0.0,0.0,0.0
609,Laquon TreadwellJaxWR,170.0,0.0,0.0,0.0,0.0
610,Tavon AustinIRJaxWR,170.0,0.0,0.0,0.0,0.0
611,Derrius GuiceSSPDFARB,170.0,0.0,0.0,0.0,0.1
612,Jonathan HillimanFARB,170.0,0.0,0.0,0.0,0.0
613,P.J. WalkerCarQB,170.0,0.0,0.0,0.0,0.1
614,TJ JonesNYGWR,170.0,0.0,0.0,0.0,0.0
615,Marquez StevensonIRBufWR,170.0,0.0,0.0,0.0,0.0
616,Nick BawdenFARB,170.0,0.0,0.0,0.0,0.0
617,Tra CarsonFARB,170.0,0.0,0.0,0.0,0.0
618,Rodney AndersonFARB,170.0,0.0,0.0,0.0,0.0
619,Kerryon JohnsonQFARB,170.0,0.0,0.0,0.0,0.3
620,Darius BradwellLACRB,170.0,0.0,0.0,0.0,0.0
621,Jarius WrightFAWR,170.0,0.0,0.0,0.0,0.0
622,Bronson KaufusiGBTE,170.0,0.0,0.0,0.0,0.0
623,Devine OzigboJaxRB,170.0,0.0,0.0,0.0,0.0
624,J.J. NelsonIRIndWR,170.0,0.0,0.0,0.0,0.0
625,Ted Ginn Jr.FAWR,170.0,0.0,0.0,0.0,0.0
626,Jordan ChunnFARB,170.0,0.0,0.0,0.0,0.0
627,Jamal AgnewJaxWR,170.0,0.0,0.0,0.0,0.1
628,Patrick LairdMiaRB,170.0,0.0,0.0,0.0,0.0
629,Alex BachmanQFAWR,170.0,0.0,0.0,0.0,0.0
630,Damarea CrockettFARB,170.0,0.0,0.0,0.0,0.0
631,Racey McMathTenWR,170.0,0.0,0.0,0.0,0.0
632,Vernon DavisWshTE,170.0,0.0,0.0,0.0,0.0
633,Chris StrevelerAriQB,170.0,0.0,0.0,0.0,0.0
634,Danny EtlingFAQB,170.0,0.0,0.0,0.0,0.0
635,Sewo OloniluaIRDalRB,170.0,0.0,0.0,0.0,0.0
636,Reggie BonnafonQFARB,170.0,0.0,0.0,0.0,0.0
637,Collin JohnsonNYGWR,170.0,0.0,0.0,0.0,0.1
638,Jake LutonSeaQB,170.0,0.0,0.0,0.0,0.0
639,Tyree JacksonIRPhiTE,170.0,0.0,0.0,0.0,0.0
640,Charles JonesFATE,170.0,0.0,0.0,0.0,0.0
641,Joe WebbFAQB,170.0,0.0,0.0,0.0,0.0
642,Josh FergusonFARB,170.0,0.0,0.0,0.0,0.0
643,Elijah McGuireQKCRB,170.0,0.0,0.0,0.0,0.0
644,Marcus BaughFATE,170.0,0.0,0.0,0.0,0.0
645,John KellyCleRB,170.0,0.0,0.0,0.0,0.0
646,Damion RatleyFAWR,170.0,0.0,0.0,0.0,0.0
647,Travis BenjaminQSFWR,170.0,0.0,0.0,0.0,0.0
648,Quinton FlowersFARB,170.0,0.0,0.0,0.0,0.0
649,Ryquell ArmsteadFARB,170.0,0.0,0.0,0.0,0.0
650,Ito SmithFARB,170.0,0.0,0.0,0.0,0.1
651,Tyler BrayFAQB,170.0,0.0,0.0,0.0,0.0
652,Chris ManhertzJaxTE,170.0,0.0,0.0,0.0,0.0
653,Cullen GillaspiaNYGRB,170.0,0.0,0.0,0.0,0.0
654,Cody HollisterQFAWR,170.0,0.0,0.0,0.0,0.0
655,Bryce LoveQFARB,170.0,0.0,0.0,0.0,0.0
656,DeAndre WashingtonFARB,170.0,0.0,0.0,0.0,0.0
657,John HightowerPhiWR,170.0,0.0,0.0,0.0,0.0
658,Marcus MariotaQLVQB,170.0,0.0,0.0,0.0,0.2
659,T.J. YeldonFARB,170.0,0.0,0.0,0.0,0.0
660,Tyler EifertFATE,170.0,0.0,0.0,0.0,0.0
661,Jordan MatthewsFATE,170.0,0.0,0.0,0.0,0.0
662,Chris MyarickNYGTE,170.0,0.0,0.0,0.0,0.0
663,Luke FalkNYJQB,170.0,0.0,0.0,0.0,0.0
664,Rashard DavisFAWR,170.0,0.0,0.0,0.0,0.0
665,Jason Vander LaanFATE,170.0,0.0,0.0,0.0,0.0
666,Matt LaCosseNETE,170.0,0.0,0.0,0.0,0.0
667,Kendall HintonFAWR,170.0,0.0,0.0,0.0,0.0
668,Brett RypienFAQB,170.0,0.0,0.0,0.0,0.0
669,River CracraftSFWR,170.0,0.0,0.0,0.0,0.0
670,Stephen AndersonLACTE,170.0,0.0,0.0,0.0,0.0
671,Chase DanielQLACQB,170.0,0.0,0.0,0.0,0.0
672,Alex EllisQFATE,170.0,0.0,0.0,0.0,0.0
673,Jason CabindaDetRB,170.0,0.0,0.0,0.0,0.0
674,Malcolm PerryNEWR,170.0,0.0,0.0,0.0,0.0
675,Dontrell HilliardQFARB,170.0,0.0,0.0,0.0,0.0
676,Taquan MizzellQFARB,170.0,0.0,0.0,0.0,0.0
677,Tajae SharpeAtlWR,170.0,0.0,0.0,0.0,0.0
678,Kevin WhiteNOWR,170.0,0.0,0.0,0.0,0.0
679,Keith KirkwoodCarWR,170.0,0.0,0.0,0.0,0.0
680,Buddy HowellLARRB,170.0,0.0,0.0,0.0,0.0
681,Kahale WarringBufTE,170.0,0.0,0.0,0.0,0.0
682,Adam ShaheenQMiaTE,170.0,0.0,0.0,0.0,0.0
683,Dion LewisFARB,170.0,0.0,0.0,0.0,0.0
684,Tyrone SwoopesOWshTE,170.0,0.0,0.0,0.0,0.0
685,Chad WilliamsQFAWR,170.0,0.0,0.0,0.0,0.0
686,Ventell BryantSSPDFAWR,170.0,0.0,0.0,0.0,0.0
687,Alex EricksonFAWR,170.0,0.0,0.0,0.0,0.0
688,Shaun WilsonFARB,170.0,0.0,0.0,0.0,0.0
689,Trevor SiemianFAQB,170.0,0.0,0.0,0.0,0.0
690,Isaiah WrightFAWR,170.0,0.0,0.0,0.0,0.0
691,Brandon PowellMiaWR,170.0,0.0,0.0,0.0,0.0
692,Kyle SloterFAQB,170.0,0.0,0.0,0.0,0.0
693,Detrez NewsomeFARB,170.0,0.0,0.0,0.0,0.0
694,Jordan ScarlettMiaRB,170.0,0.0,0.0,0.0,0.0
695,Jordan ThomasIRIndTE,170.0,0.0,0.0,0.0,0.0
696,Austin WalterQFARB,170.0,0.0,0.0,0.0,0.0
697,Vance McDonaldPitTE,170.0,0.0,0.0,0.0,0.0
698,Johnny MundtLARTE,170.0,0.0,0.0,0.0,0.0
699,Trent TaylorCinWR,170.0,0.0,0.0,0.0,0.0
700,Darrius ShepherdFAWR,170.0,0.0,0.0,0.0,0.0
701,Garrett CelekQSFTE,170.0,0.0,0.0,0.0,0.0
702,Jonathan WilliamsFARB,170.0,0.0,0.0,0.0,0.0
703,Nathan CottrellJaxRB,170.0,0.0,0.0,0.0,0.0
704,Sean MannionSeaQB,170.0,0.0,0.0,0.0,0.0
705,John FranklinQFAWR,170.0,0.0,0.0,0.0,0.0
706,Travis FulghamPhiWR,170.0,0.0,0.0,0.0,0.2
707,Ishmael HymanFAWR,170.0,0.0,0.0,0.0,0.0
708,Tyler DavisIndTE,170.0,0.0,0.0,0.0,0.0
709,Spencer WareFARB,170.0,0.0,0.0,0.0,0.0
710,Christian WadeOBufRB,170.0,0.0,0.0,0.0,0.0
711,James WilliamsDetRB,170.0,0.0,0.0,0.0,0.0
712,Deon CainQFAWR,170.0,0.0,0.0,0.0,0.0
713,Trenton IrwinCinWR,170.0,0.0,0.0,0.0,0.0
714,David FluellenFARB,170.0,0.0,0.0,0.0,0.0
715,Charlie WoernerSFTE,170.0,0.0,0.0,0.0,0.0
716,Ashton DulinIndWR,170.0,0.0,0.0,0.0,0.0
717,Phillip Dorsett IIJaxWR,170.0,0.0,0.0,0.0,0.1
718,Victor BoldenFAWR,170.0,0.0,0.0,0.0,0.0
719,Matt SchaubAtlQB,170.0,0.0,0.0,0.0,0.0
720,Nate StanleyIRMinQB,170.0,0.0,0.0,0.0,0.0
721,Davis WebbBufQB,170.0,0.0,0.0,0.0,0.0
722,Penny HartSeaWR,170.0,0.0,0.0,0.0,0.0
723,Lynn Bowden Jr.IRMiaWR,170.0,0.0,0.0,0.0,0.1
724,Theo RiddickOLVRB,170.0,0.0,0.0,0.0,0.0
725,Dalyn DawkinsFARB,170.0,0.0,0.0,0.0,0.0
726,Cole HikutiniQFATE,170.0,0.0,0.0,0.0,0.0
727,Zach LineNORB,170.0,0.0,0.0,0.0,0.0
728,John WolfordQLARQB,170.0,0.0,0.0,0.0,0.0
729,Jaydon MickensTBWR,170.0,0.0,0.0,0.0,0.0
730,Reggie BegeltonFAWR,170.0,0.0,0.0,0.0,0.0
731,Ben EllefsonMinTE,170.0,0.0,0.0,0.0,0.0
732,Jawill DavisGBWR,170.0,0.0,0.0,0.0,0.0
733,Temarrick HemingwayFATE,170.0,0.0,0.0,0.0,0.0
734,Blaine GabbertTBQB,170.0,0.0,0.0,0.0,0.0
735,Tanner HudsonSFTE,170.0,0.0,0.0,0.0,0.0
736,Andre RobertsQHouWR,170.0,0.0,0.0,0.0,0.0
737,Colin ThompsonCarTE,170.0,0.0,0.0,0.0,0.0
738,Mike WeberQFARB,170.0,0.0,0.0,0.0,0.0
739,Charles ClayFATE,170.0,0.0,0.0,0.0,0.0
740,Tony BrownFAWR,170.0,0.0,0.0,0.0,0.0
741,David FalesFAQB,170.0,0.0,0.0,0.0,0.0
742,Spencer SchnellFAWR,170.0,0.0,0.0,0.0,0.0
743,Trey QuinnQLVWR,170.0,0.0,0.0,0.0,0.0
744,Virgil GreenQFATE,170.0,0.0,0.0,0.0,0.0
745,Tyler ErvinQFARB,170.0,0.0,0.0,0.0,0.0
746,Alex TanneyNYGQB,170.0,0.0,0.0,0.0,0.0
747,Roc ThomasJaxRB,170.0,0.0,0.0,0.0,0.0
748,Ben WatsonNETE,170.0,0.0,0.0,0.0,0.0
749,C.J. BoardNYGWR,170.0,0.0,0.0,0.0,0.0
750,D'Onta ForemanFARB,170.0,0.0,0.0,0.0,0.0
751,MyCole PruittSFTE,170.0,0.0,0.0,0.0,0.0
752,Austin MackIRNYGWR,170.0,0.0,0.0,0.0,0.0
753,DeAndrew WhiteQFAWR,170.0,0.0,0.0,0.0,0.0
754,Levine ToiloloIRNYGTE,170.0,0.0,0.0,0.0,0.0
755,Antony AuclairHouTE,170.0,0.0,0.0,0.0,0.0
756,Akrum WadleyFARB,170.0,0.0,0.0,0.0,0.0
757,Devin FunchessQFAWR,170.0,0.0,0.0,0.0,0.1
758,Preston WilliamsMiaWR,170.0,0.0,0.0,0.0,0.3
759,Mark WaltonMiaRB,170.0,0.0,0.0,0.0,0.0
760,Nate BeckerFATE,170.0,0.0,0.0,0.0,0.0
761,Wes HillsFARB,170.0,0.0,0.0,0.0,0.0
762,J.P. HoltzChiRB,170.0,0.0,0.0,0.0,0.0
763,Austin ProehlLACWR,170.0,0.0,0.0,0.0,0.0
764,Pharaoh BrownHouTE,170.0,0.0,0.0,0.0,0.0
765,Tommylee LewisQFAWR,170.0,0.0,0.0,0.0,0.0
766,Eno BenjaminAriRB,170.0,0.0,0.0,0.0,0.2
767,Clive WalfordFATE,170.0,0.0,0.0,0.0,0.0
768,Alex BarnesTenRB,170.0,0.0,0.0,0.0,0.0
769,Jeff DriskelHouQB,170.0,0.0,0.0,0.0,0.0
770,Jordan ReedSFTE,170.0,0.0,0.0,0.0,0.0
771,Geronimo AllisonFAWR,170.0,0.0,0.0,0.0,0.0
772,Dan ChisenaIRMinWR,170.0,0.0,0.0,0.0,0.0
773,Isaiah HodginsQBufWR,170.0,0.0,0.0,0.0,0.0
774,Daniel BrownNYJTE,170.0,0.0,0.0,0.0,0.0
775,Deontay BurnettFAWR,170.0,0.0,0.0,0.0,0.0
776,Seth RobertsFAWR,170.0,0.0,0.0,0.0,0.0
777,Darren FellsDetTE,170.0,0.0,0.0,0.0,0.1
778,Tanner LeeFAQB,170.0,0.0,0.0,0.0,0.0
779,Quadree HendersonPitWR,170.0,0.0,0.0,0.0,0.0
780,Bilal PowellFARB,170.0,0.0,0.0,0.0,0.0
781,Mason SchreckCinTE,170.0,0.0,0.0,0.0,0.0
782,Dalton KeeneIRNETE,170.0,0.0,0.0,0.0,0.0
783,C.J. AndersonDetRB,170.0,0.0,0.0,0.0,0.0
784,Tony Brooks-JamesFARB,170.0,0.0,0.0,0.0,0.0
785,Cethan CarterQMiaTE,170.0,0.0,0.0,0.0,0.0
786,Jason HuntleyQPhiRB,170.0,0.0,0.0,0.0,0.0
787,Alexander HollinsCleWR,170.0,0.0,0.0,0.0,0.0
788,Matt SokolJaxTE,170.0,0.0,0.0,0.0,0.0
789,Stanley MorganCinWR,170.0,0.0,0.0,0.0,0.0
790,Ryan IzzoNYGTE,170.0,0.0,0.0,0.0,0.0
791,Javon WimsFAWR,170.0,0.0,0.0,0.0,0.0
